task_id,start_time,end_time,assigned_workers,dependencies,completion_percentage,delay_duration,delay_reason
TASK_52,2025-02-21 14:48:36,2025-02-22 12:48:36,"W1,W2,W6","TASK_1,TASK_2",97.93528615010594,0.2686974665085001,Resource
TASK_53,2025-02-21 08:48:36,2025-02-22 14:48:36,"W1,W2,W4","TASK_1,TASK_2",19.89779170462207,1.823081399114569,Technical
TASK_54,2025-02-21 09:48:36,2025-02-22 23:48:36,"W1,W2,W6","TASK_1,TASK_2",95.17538431089947,1.7105297481301855,Weather
TASK_55,2025-02-21 09:48:36,2025-02-22 02:48:36,"W1,W2,W7","TASK_1,TASK_2",2.9505205130256007,2.316277298113354,Weather
TASK_56,2025-02-21 20:48:36,2025-02-22 12:48:36,"W1,W2,W4","TASK_1,TASK_2",30.708396424292207,1.8123052137239215,None
TASK_57,2025-02-21 16:48:36,2025-02-22 06:48:36,"W1,W2,W6","TASK_1,TASK_2",60.23064549194714,3.4334858085473545,Weather
TASK_58,2025-02-21 17:48:36,2025-02-22 03:48:36,"W1,W2,W9","TASK_1,TASK_2",12.119457632178099,1.5866110923803234,None
TASK_59,2025-02-21 14:48:36,2025-02-22 21:48:36,"W1,W2,W4","TASK_1,TASK_2",62.57655546302452,0.524575590713045,Weather
TASK_60,2025-02-21 01:48:36,2025-02-22 16:48:36,"W1,W2,W9","TASK_1,TASK_2",30.452247859138424,2.0341742956893754,Technical
TASK_61,2025-02-21 16:48:36,2025-02-22 08:48:36,"W1,W2,W7","TASK_1,TASK_2",9.557213287966515,0.14396323353746243,Resource
TASK_62,2025-02-21 16:48:36,2025-02-22 06:48:36,"W1,W2,W5","TASK_1,TASK_2",49.863952643689345,2.3331861416037745,Resource
TASK_63,2025-02-21 13:48:36,2025-02-22 16:48:36,"W1,W2,W5","TASK_1,TASK_2",18.707594194474588,4.462885747315834,Technical
TASK_64,2025-02-21 19:48:36,2025-02-22 01:48:36,"W1,W2,W4","TASK_1,TASK_2",31.512017344907363,4.35278358769784,Weather
TASK_65,2025-02-21 03:48:36,2025-02-22 03:48:36,"W1,W2,W4","TASK_1,TASK_2",79.78930667626194,4.220695904658714,Technical
TASK_66,2025-02-21 11:48:36,2025-02-22 07:48:36,"W1,W2,W6","TASK_1,TASK_2",34.68907200495243,2.203907396479432,None
TASK_67,2025-02-21 19:48:36,2025-02-22 23:48:36,"W1,W2,W3","TASK_1,TASK_2",17.654627277248448,4.953450206844648,Weather
TASK_68,2025-02-21 11:48:36,2025-02-22 02:48:36,"W1,W2,W6","TASK_1,TASK_2",39.80390966355609,1.1096270364029643,Resource
TASK_69,2025-02-21 23:48:36,2025-02-22 23:48:36,"W1,W2,W9","TASK_1,TASK_2",47.72658425649081,1.6146388044838784,Resource
TASK_70,2025-02-21 09:48:36,2025-02-22 05:48:36,"W1,W2,W8","TASK_1,TASK_2",90.73796240724205,1.7317044678166367,Resource
TASK_71,2025-02-21 10:48:36,2025-02-22 02:48:36,"W1,W2,W6","TASK_1,TASK_2",0.994442800432993,4.126870324969075,None
TASK_72,2025-02-21 03:48:36,2025-02-22 11:48:36,"W1,W2,W6","TASK_1,TASK_2",19.24754230342821,1.6231516395363754,Weather
TASK_73,2025-02-21 17:48:36,2025-02-22 20:48:36,"W1,W2,W5","TASK_1,TASK_2",47.09249865958398,1.3884749128994145,Weather
TASK_74,2025-02-21 19:48:36,2025-02-22 12:48:36,"W1,W2,W7","TASK_1,TASK_2",82.69521318701555,0.2909168585316768,Resource
TASK_75,2025-02-21 19:48:36,2025-02-22 04:48:36,"W1,W2,W9","TASK_1,TASK_2",96.1058858030047,0.7201546992125646,Weather
TASK_76,2025-02-21 21:48:36,2025-02-22 06:48:36,"W1,W2,W9","TASK_1,TASK_2",70.83361106218028,1.0417166991918336,Technical
TASK_77,2025-02-21 04:48:36,2025-02-22 18:48:36,"W1,W2,W3","TASK_1,TASK_2",54.678771506412296,2.3158302800840787,Technical
TASK_78,2025-02-21 01:48:36,2025-02-22 21:48:36,"W1,W2,W3","TASK_1,TASK_2",88.32218666676798,3.4801176516291683,Resource
TASK_79,2025-02-21 21:48:36,2025-02-22 20:48:36,"W1,W2,W4","TASK_1,TASK_2",95.55257623772002,1.383537279490303,None
TASK_80,2025-02-21 08:48:36,2025-02-22 23:48:36,"W1,W2,W4","TASK_1,TASK_2",13.370988660602789,3.363983652175925,Technical
TASK_81,2025-02-21 09:48:36,2025-02-22 20:48:36,"W1,W2,W8","TASK_1,TASK_2",81.04476562030555,2.530418372764208,Technical
TASK_82,2025-02-21 09:48:36,2025-02-22 23:48:36,"W1,W2,W5","TASK_1,TASK_2",73.97322439005308,4.597241803489442,Technical
TASK_83,2025-02-21 01:48:36,2025-02-22 10:48:36,"W1,W2,W7","TASK_1,TASK_2",91.68553517079599,4.04036422916363,None
TASK_84,2025-02-21 07:48:36,2025-02-22 22:48:36,"W1,W2,W8","TASK_1,TASK_2",55.14579359476579,3.146287482183687,Resource
TASK_85,2025-02-21 04:48:36,2025-02-22 14:48:36,"W1,W2,W9","TASK_1,TASK_2",12.058797589807346,4.58145728197363,Weather
TASK_86,2025-02-21 13:48:36,2025-02-22 11:48:36,"W1,W2,W8","TASK_1,TASK_2",39.44636346118625,2.3494940012201604,Technical
TASK_87,2025-02-21 12:48:36,2025-02-22 07:48:36,"W1,W2,W3","TASK_1,TASK_2",47.13525933501502,1.7200838338453373,None
TASK_88,2025-02-21 18:48:36,2025-02-22 16:48:36,"W1,W2,W6","TASK_1,TASK_2",2.1151879981286092,0.2773840403787764,Weather
TASK_89,2025-02-21 19:48:36,2025-02-22 03:48:36,"W1,W2,W8","TASK_1,TASK_2",95.34578793876993,4.168382941687108,None
TASK_90,2025-02-21 03:48:36,2025-02-22 21:48:36,"W1,W2,W3","TASK_1,TASK_2",65.53388128818965,0.9093057157941975,Resource
TASK_91,2025-02-21 23:48:36,2025-02-22 23:48:36,"W1,W2,W7","TASK_1,TASK_2",28.013890110775964,2.632308589103978,Technical
TASK_92,2025-02-21 06:48:36,2025-02-22 10:48:36,"W1,W2,W7","TASK_1,TASK_2",51.17322774052644,1.0772550883578658,Resource
TASK_93,2025-02-21 22:48:36,2025-02-22 04:48:36,"W1,W2,W4","TASK_1,TASK_2",32.585153118856816,4.92504838147046,Weather
TASK_94,2025-02-21 03:48:36,2025-02-22 20:48:36,"W1,W2,W5","TASK_1,TASK_2",96.08800545692053,3.4770573957660718,Technical
TASK_95,2025-02-21 19:48:36,2025-02-22 11:48:36,"W1,W2,W3","TASK_1,TASK_2",63.301862671236684,4.360855541144513,Technical
TASK_96,2025-02-21 17:48:36,2025-02-22 07:48:36,"W1,W2,W5","TASK_1,TASK_2",12.636440037053253,0.5855433373660252,Resource
TASK_97,2025-02-21 21:48:36,2025-02-22 04:48:36,"W1,W2,W9","TASK_1,TASK_2",40.07399709621296,1.451359897053236,Weather
TASK_98,2025-02-21 03:48:36,2025-02-22 01:48:36,"W1,W2,W4","TASK_1,TASK_2",34.28095417256793,1.9139069139691585,Weather
TASK_99,2025-02-21 08:48:36,2025-02-22 14:48:36,"W1,W2,W7","TASK_1,TASK_2",63.997782755886746,1.586578428818426,Technical
